
   t          f(t)        Pn(t)       Er(t)
1.470265     2.990118    2.998879   -0.002930
1.476549     2.973294    2.982972   -0.003255
1.482832     2.956437    2.967055   -0.003592
1.489115     2.939550    2.951130   -0.003939
1.495398     2.922635    2.935198   -0.004299
1.501681     2.905695    2.919260   -0.004669
1.507964     2.888731    2.903317   -0.005049
1.514248     2.871746    2.887370   -0.005441
1.520531     2.854741    2.871420   -0.005842
1.526814     2.837720    2.855468   -0.006254
1.533097     2.820685    2.839516   -0.006676
1.539380     2.803636    2.823564   -0.007108
1.545664     2.786578    2.807613   -0.007549
1.551947     2.769511    2.791664   -0.007999
1.558230     2.752438    2.775718   -0.008458
1.564513     2.735361    2.759777   -0.008926
1.570796     2.718282    2.743841   -0.009403
1.577080     2.701203    2.727911   -0.009888
1.583363     2.684126    2.711988   -0.010381
1.589646     2.667052    2.696074   -0.010881
1.595929     2.649985    2.680169   -0.011390
1.602212     2.632926    2.664273   -0.011906
1.608495     2.615877    2.648389   -0.012429
1.614779     2.598839    2.632516   -0.012958
1.621062     2.581815    2.616656   -0.013495
1.627345     2.564806    2.600810   -0.014038
1.633628     2.547815    2.584978   -0.014586
1.639911     2.530843    2.569162   -0.015141
1.646195     2.513892    2.553363   -0.015701
1.652478     2.496963    2.537580   -0.016266
1.658761     2.480059    2.521816   -0.016837
1.665044     2.463181    2.506070   -0.017412
1.671327     2.446331    2.490344   -0.017992
1.677610     2.429510    2.474639   -0.018575
1.683894     2.412720    2.458955   -0.019163
1.690177     2.395963    2.443294   -0.019754
1.696460     2.379241    2.427656   -0.020349
1.702743     2.362554    2.412041   -0.020946
1.709026     2.345905    2.396451   -0.021547
1.715310     2.329294    2.380887   -0.022149
1.721593     2.312724    2.365349   -0.022754
1.727876     2.296196    2.349838   -0.023361
1.734159     2.279711    2.334354   -0.023969
1.740442     2.263271    2.318899   -0.024579
1.746726     2.246877    2.303474   -0.025189
1.753009     2.230530    2.288078   -0.025800
1.759292     2.214233    2.272713   -0.026411
1.765575     2.197985    2.257380   -0.027022
1.771858     2.181789    2.242079   -0.027633
1.778141     2.165645    2.226810   -0.028243
1.784425     2.149555    2.211575   -0.028853
1.790708     2.133521    2.196375   -0.029460
1.796991     2.117542    2.181209   -0.030067
1.803274     2.101621    2.166079   -0.030671
1.809557     2.085759    2.150986   -0.031273
1.815841     2.069956    2.135929   -0.031872
1.822124     2.054214    2.120910   -0.032468
1.828407     2.038534    2.105929   -0.033061
1.834690     2.022916    2.090987   -0.033650
1.840973     2.007363    2.076085   -0.034235
1.847256     1.991874    2.061222   -0.034816
1.853540     1.976451    2.046401   -0.035392
1.859823     1.961094    2.031620   -0.035963
1.866106     1.945805    2.016882   -0.036528
1.872389     1.930585    2.002186   -0.037088
1.878672     1.915434    1.987533   -0.037641
1.884956     1.900353    1.972924   -0.038189
1.891239     1.885343    1.958360   -0.038729
1.897522     1.870404    1.943840   -0.039262
1.903805     1.855539    1.929365   -0.039787
1.910088     1.840746    1.914937   -0.040305
1.916372     1.826028    1.900555   -0.040814
1.922655     1.811384    1.886219   -0.041314
1.928938     1.796815    1.871932   -0.041806
1.935221     1.782322    1.857692   -0.042288
1.941504     1.767906    1.843501   -0.042760
1.947787     1.753567    1.829359   -0.043222
1.954071     1.739306    1.815267   -0.043673
1.960354     1.725123    1.801224   -0.044114
1.966637     1.711018    1.787233   -0.044543
1.972920     1.696994    1.773292   -0.044961
1.979203     1.683049    1.759402   -0.045366
1.985487     1.669184    1.745565   -0.045760
1.991770     1.655400    1.731780   -0.046140
1.998053     1.641697    1.718048   -0.046507
2.004336     1.628076    1.704369   -0.046861
2.010619     1.614536    1.690743   -0.047201
2.016902     1.601079    1.677172   -0.047526
2.023186     1.587705    1.663656   -0.047837
2.029469     1.574413    1.650194   -0.048133
2.035752     1.561205    1.636788   -0.048413
2.042035     1.548081    1.623437   -0.048677
2.048318     1.535040    1.610143   -0.048926
2.054602     1.522084    1.596905   -0.049157
2.060885     1.509211    1.583724   -0.049372
2.067168     1.496424    1.570601   -0.049570
2.073451     1.483721    1.557535   -0.049749
2.079734     1.471103    1.544527   -0.049911
2.086018     1.458570    1.531578   -0.050054
2.092301     1.446122    1.518687   -0.050179
2.098584     1.433760    1.505856   -0.050284
2.104867     1.421483    1.493083   -0.050370
2.111150     1.409292    1.480371   -0.050436
2.117433     1.397186    1.467719   -0.050482
2.123717     1.385166    1.455127   -0.050507
2.130000     1.373232    1.442595   -0.050511
2.136283     1.361383    1.430125   -0.050494
2.142566     1.349620    1.417716   -0.050455
2.148849     1.337943    1.405369   -0.050395
2.155133     1.326352    1.393083   -0.050311
2.161416     1.314847    1.380860   -0.050206
